Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Årvoll,59.945281099999995,10.8098679,Årvoll Senter,59.94512439131169,10.809138135050436,Shopping Mall
Årvoll,59.945281099999995,10.8098679,Lavpris Kiosk,59.94574354746425,10.808570757780302,Convenience Store
Årvoll,59.945281099999995,10.8098679,REMA 1000 Årvoll,59.94503641,10.80918437,Supermarket
Årvoll,59.945281099999995,10.8098679,Årvoll Kunstgress,59.94486680999213,10.814980134719537,Soccer Field
Årvoll,59.945281099999995,10.8098679,Fitness24Seven,59.94260547424856,10.811987879677398,Gym / Fitness Center
Årvoll,59.945281099999995,10.8098679,Dragens Restaurant,59.942413958881446,10.812029101650701,Asian Restaurant
Årvoll,59.945281099999995,10.8098679,Stig (B),59.94727493453404,10.81736355361026,Bus Station
Veitvet,59.9445298,10.846938900000001,Lucky Bowl Veitvet,59.94409269810243,10.847175257950404,Bowling Alley
Veitvet,59.9445298,10.846938900000001,Veitvet senter,59.944523020896355,10.8469820022583,Shopping Mall
Veitvet,59.9445298,10.846938900000001,Rema 1000,59.9443542,10.8479016,Supermarket
Veitvet,59.9445298,10.846938900000001,Sletteløkka,59.946883698924246,10.847318904923828,Soccer Field
Økern,59.9282615,10.8062778,Økern Sushi,59.925679,10.812063,Sushi Restaurant
Økern,59.9282615,10.8062778,Circle K,59.927504631468494,10.810154586435875,Convenience Store
Økern,59.9282615,10.8062778,Kiwi,59.92846319503267,10.806937674140793,Grocery Store
Økern,59.9282615,10.8062778,Økern (T),59.928293026614575,10.806357074517363,Metro Station
Økern,59.9282615,10.8062778,PizzaBuzzen,59.929769,10.805464,Pizza Place
Økern,59.9282615,10.8062778,Økernkrysset (B),59.92864731,10.80227961,Bus Stop
Økern,59.9282615,10.8062778,NAF Senter,59.92413592861294,10.80479870659474,Auto Workshop
Økern,59.9282615,10.8062778,Økernparken,59.931357572730825,10.812430982489275,Park
Risløkka,59.9325069,10.8231305,Meny,59.93657332038955,10.826251616031906,Grocery Store
Risløkka,59.9325069,10.8231305,BROBEKK STORCASH AS,59.932201245134564,10.831548263005034,Grocery Store
Risløkka,59.9325069,10.8231305,Quality Hotel 33,59.92891416683861,10.818571149942967,Hotel
Risløkka,59.9325069,10.8231305,Sky Bar,59.92876958088594,10.818316447284253,Hotel Bar
Risløkka,59.9325069,10.8231305,Risløkka (T),59.932437360073074,10.822998687471495,Metro Station
Risløkka,59.9325069,10.8231305,nærbutikken risløkka,59.93218547050111,10.822162760830167,Market
Risløkka,59.9325069,10.8231305,Risløkka,59.9337962579411,10.814965211926529,Nature Preserve
Bygdøy,59.90852389999999,10.6769071,Festplassen Folkemuseet,59.906154,10.68203,Amphitheater
Bygdøy,59.90852389999999,10.6769071,Gjestestuene,59.90743277691496,10.682352773719094,History Museum
Bygdøy,59.90852389999999,10.6769071,Oslo Turnforening (Bygdøy Skole),59.90503763304425,10.67724836126468,Athletics & Sports
